,links,names,ratings,price for two,cuisine
58,https://www.zomato.com/bangalore/rolls-on-wheels-shawarma-wraps-st-marks-road-bangalore/order,Rolls On Wheels - Shawarma & Wraps,3.7,₹100 for one,"Rolls, Kebab, Fast Food, Wraps, Momos, Shawarma, Beverages, Desserts"
59,https://www.zomato.com/bangalore/ambur-hot-dum-biryani-btm/order,Ambur Hot Dum Biryani,4.2,₹100 for one,"Biryani, South Indian, Kebab"
60,https://www.zomato.com/bangalore/dairy-day-ice-creams-frozen-desserts-wilson-garden-bangalore/order,Dairy Day Ice Creams & Frozen Desserts,4.5,₹100 for one,"Ice Cream, Desserts"
61,https://www.zomato.com/bangalore/cakewala-cafe-rt-nagar-bangalore/order,Cakewala Cafe,4.1,₹100 for one,"Burger, Sandwich"
62,https://www.zomato.com/bangalore/donne-biryani-house-btm-bangalore/order,Donne Biryani House,3.4,₹100 for one,"Biryani, Fast Food"
63,https://www.zomato.com/bangalore/baskin-robbins-ice-cream-desserts-1-brigade-road-bangalore/order,Baskin Robbins - Ice Cream Desserts,4.4,₹100 for one,"Ice Cream, Desserts, Bakery, Shake, Beverages"
64,https://www.zomato.com/bangalore/big-bowl-hosur-road-bangalore/order,Big Bowl,4.1,₹100 for one,"Continental, Chinese, Oriental, Asian, Healthy Food, Sandwich"
65,https://www.zomato.com/bangalore/royal-restaurant-shivajinagar/order,Royal Restaurant,4.0,₹100 for one,"North Indian, Chinese, Sichuan"
66,https://www.zomato.com/bangalore/theobroma-lavelle-road-bangalore/order,Theobroma,4.3,₹100 for one,"Bakery, Desserts, Fast Food, Beverages"
67,https://www.zomato.com/bangalore/nagarjuna-since-1984-residency-road-bangalore/order,Nagarjuna - Since 1984,4.3,₹100 for one,"Andhra, Biryani, North Indian, Seafood"
68,https://www.zomato.com/bangalore/goli-vada-pav-no-1-2-vijay-nagar-bangalore/order,Goli Vada Pav No. 1,3.8,₹100 for one,"Fast Food, Street Food, Maharashtrian, Rolls, Ice Cream"
69,https://www.zomato.com/bangalore/gopizza-2-banaswadi-bangalore/order,GOPIZZA,3.8,₹350 for one,"Pizza, Fast Food"
70,https://www.zomato.com/bangalore/kannur-food-kitchen-btm-bangalore/order,Kannur Food Kitchen,3.7,₹350 for one,"Kerala, Biryani, South Indian, Arabian, Beverages, Juices, Shake, Chinese"
71,https://www.zomato.com/bangalore/glen-s-bakehouse-lavelle-road-bangalore/order,Glen`s Bakehouse,4.1,₹350 for one,"Bakery, Cafe, Italian, Continental, Fast Food, Beverages, Desserts"
72,https://www.zomato.com/bangalore/kolkata-famous-kati-rolls-3-rt-nagar-bangalore/order,Kolkata Famous Kati Rolls,4.1,₹350 for one,Rolls
73,https://www.zomato.com/bangalore/savoury-restaurant-1-frazer-town/order,Savoury Restaurant,4.0,₹350 for one,"North Indian, Arabian, Chinese, Mughlai, Seafood, Shawarma, Desserts, Beverages"
74,https://www.zomato.com/bangalore/nahdi-mandi-btm-bangalore/order,Nahdi Mandi,4.3,₹350 for one,Mandi
75,https://www.zomato.com/bangalore/smoor-lavelle-road-bangalore/order,Smoor,4.4,₹350 for one,"Asian, Salad, Pizza, Sandwich, Burger, Desserts, Beverages"
76,https://www.zomato.com/bangalore/new-udupi-grand-1-koramangala-8th-block-bangalore/order,New Udupi Grand,3.8,₹350 for one,"South Indian, North Indian, Street Food, Beverages, Chinese, Shake"
77,https://www.zomato.com/bangalore/new-taj-darbar-shivajinagar-bangalore/order,New Taj Darbar,3.4,₹350 for one,"North Indian, Chinese, Mughlai, Biryani"
78,https://www.zomato.com/bangalore/big-bite-vijay-nagar/order,Big Bite,4.2,₹350 for one,"Fast Food, Chinese, Street Food, Burger, Pizza, Beverages, Ice Cream"
79,https://www.zomato.com/bangalore/dil-punjabi-btm-bangalore/order,Dil Punjabi,3.4,₹350 for one,North Indian
80,https://www.zomato.com/bangalore/punjabi-nawabi-pure-veg-banashankari-bangalore/order,Punjabi Nawabi Pure Veg,3.5,₹350 for one,Mughlai
81,https://www.zomato.com/bangalore/lunchbox-meals-and-thalis-shanti-nagar-bangalore/order,LunchBox - Meals and Thalis,4.1,₹200 for one,"North Indian, Biryani, Mughlai"
82,https://www.zomato.com/bangalore/hari-super-sandwich-basavanagudi/order,Hari Super Sandwich,3.9,₹200 for one,"Street Food, Sandwich, Fast Food, Pizza, Burger"
83,https://www.zomato.com/bangalore/vijayalakshmi-veg-frazer-town-bangalore/order,Vijayalakshmi Veg,4.0,₹200 for one,"South Indian, Chinese, North Indian, Sichuan, Beverages"
84,https://www.zomato.com/bangalore/kolkata-famous-kati-roll-koramangala-7th-block-bangalore/order,Kolkata Famous Kati Roll,3.5,₹200 for one,Rolls
85,https://www.zomato.com/bangalore/hotel-kadamba-veg-rajajinagar/order,Hotel Kadamba Veg,4.2,₹200 for one,"South Indian, North Indian, Chinese, Biryani, Mithai, Shake, Beverages"
86,https://www.zomato.com/bangalore/india-sweet-house-1-city-market-bangalore/order,India Sweet House,4.0,₹200 for one,Mithai
87,https://www.zomato.com/bangalore/sreeraj-lassi-bar-since-1973-shanti-nagar-bangalore/order,Sreeraj Lassi Bar - Since 1973,4.4,₹200 for one,"Beverages, Shake"
88,https://www.zomato.com/bangalore/truecakes-fresh-eggless-cakes-btm-bangalore/order,TrueCakes - Fresh | Eggless | Cakes,4.0,₹200 for one,"Bakery, Desserts"
89,https://www.zomato.com/bangalore/haldirams-restaurant-basavanagudi-bangalore/order,Haldiram's Restaurant,4.0,₹200 for one,"Mithai, South Indian, North Indian, Sandwich, Street Food, Biryani, Beverages"
90,https://www.zomato.com/bangalore/samosa-party-brigade-road-bangalore/order,Samosa Party,4.5,₹200 for one,"Street Food, Tea, North Indian, Beverages, Mithai, Desserts"
91,https://www.zomato.com/bangalore/priyadarshini-grand-basaveshwara-nagar/order,Priyadarshini Grand,4.3,₹200 for one,"South Indian, North Indian, Chinese, Street Food, Mithai, Beverages, Ice Cream"
92,https://www.zomato.com/bangalore/absolute-shawarma-basaveshwara-nagar-bangalore/order,Absolute Shawarma,3.4,₹200 for one,"Shawarma, Wraps, Burger, Momos, Pizza, Rolls, Shake, Beverages"
93,https://www.zomato.com/bangalore/barbeque-nation-indiranagar/order,Barbeque Nation,3.5,₹400 for one,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts"
94,https://www.zomato.com/bangalore/7-plates-frazer-town/order,7 Plates,4.2,₹400 for one,"North Indian, Mughlai, Arabian, Chinese, Seafood"
