image,year,car_name,kms_driven,fuel,mode,price(lakhs),area,city
https://images10.gaadi.com/usedcar_image/3936608/original/processed_979df77d303dfdcbd2580ae88bca8b44.jpg?imwidth=420,2012,Toyota,"1,25,000",Diesel,Manual,6.5,Mulund West, Mumbai
https://images10.gaadi.com/usedcar_image/3943823/original/processed_53671ac31a797e5b75604e148f13d1cc.jpg?imwidth=420,2020,Toyota,"57,000",Diesel,Manual,22.75,Goregaon (w), Mumbai
https://images10.gaadi.com/usedcar_image/3937133/original/7aeed9d9c3967303a8e74784a8641f6f.jpg?imwidth=420,2015,Honda,"1,00,831",Petrol,Manual,5.0,Goregaon East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Maruti,"74,000",CNG,Manual,3.25,Khar Colony, Mumbai
https://images10.gaadi.com/usedcar_image/3914007/original/processed_96f9cb66baf7ee3233a463f418b2c061.jpg?imwidth=420,2018,Hyundai,"31,000",Petrol,Manual,11.49,Borivali West, Mumbai
https://images10.gaadi.com/usedcar_image/3939530/original/34772fd2ea8035303705b45fd22766e1.png?imwidth=420,2019,Jeep,"36,625",Petrol,Manual,9.9,Prabhadevi, Mumbai
https://images10.gaadi.com/usedcar_image/3931252/original/processed_2f3247d326e6f7627189cdf2e2d8bf81.jpeg?imwidth=420,2019,Mercedes-Benz,"21,000",Diesel,Automatic,35.75,Khar (w), Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2012,Jaguar,"40,000",Diesel,Automatic,24.9,Santacruz (east), Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,Mercedes-Benz,"55,000",Diesel,Automatic,27.75,Khar (w), Mumbai
https://images10.gaadi.com/usedcar_image/3934138/original/processed_b4a6968aaa214810ac15ea2cdde86911.jpeg?imwidth=420,2009,Maruti,"79,000",Petrol,Manual,1.35,S.o, Mira Road
https://images10.gaadi.com/usedcar_image/3911194/original/bd0477f792cf1516b44e69e364204d71.jpg?imwidth=420,2019,Maruti,"16,694",Petrol,Manual,4.88,Goregaon East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2013,BMW,"48,500",Diesel,Automatic,12.75,Andheri West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2016,Hyundai,"42,000",Petrol,Automatic,5.95,Bandra West, Mumbai
https://images10.gaadi.com/usedcar_image/3824236/original/processed_9ed195eb9f174a3853c69ff38888d0dd.jpg?imwidth=420,2016,Hyundai,"66,785",Diesel,Manual,9.25,West, Thane
https://images10.gaadi.com/usedcar_image/3944609/original/processed_aa94992c4ec06c0676f6071b0963ddf9.jpeg?imwidth=420,2018,Hyundai,"52,000",Diesel,Automatic,12.9,Andheri East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Honda,"64,616",Petrol,Automatic,5.95,Antop Hill, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2017,Maruti,"30,000",Petrol,Automatic,4.25,Malad, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Honda,"30,835",Petrol,Manual,6.95,Antop Hill, Mumbai
https://images10.gaadi.com/usedcar_image/3936594/original/processed_8c6694826b01e518f4a5036a9c82b448.jpeg?imwidth=420,2015,Hyundai,"55,000",Petrol,Manual,5.9,Khar (w), Mumbai
https://images10.gaadi.com/usedcar_image/3870166/original/processed_ecc77727580f3b89a3369bfc23d5ffa2.jpeg?imwidth=420,2013,Mercedes-Benz,"41,000",Petrol,Automatic,15.5,Andheri East, Mumbai
https://images10.gaadi.com/usedcar_image/3937649/original/processed_d41348de123b27784d8d87acde201038.jpg?imwidth=420,2009,Maruti,"84,000",Petrol,Manual,2.45,Navi Mumbai,
https://images10.gaadi.com/usedcar_image/3922113/original/processed_00eb15c76d9bff6b51c5a44c402b515f.jpg?imwidth=420,2021,Kia,"67,000",Diesel,Automatic,11.0,Antop Hill, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Maruti,"55,400",Diesel,Manual,7.9,Malad West, Mumbai
https://images10.gaadi.com/usedcar_image/3923771/original/processed_c53e8e1b0248d9f0476941d1664a91a8.jpg?imwidth=420,2017,BMW,"45,600",Petrol,Automatic,20.35,Andheri West, Mumbai
https://images10.gaadi.com/usedcar_image/3944014/original/processed_dba0a0236c2bc217d32868085f5fc2ea.jpg?imwidth=420,2015,Toyota,"1,20,000",Diesel,Manual,8.75,Andheri, Mumbai
https://images10.gaadi.com/usedcar_image/3944889/original/processed_51754c17f5cab642d2267a7415fcc987.jpg?imwidth=420,2015,Maruti,"64,908",CNG,Manual,3.6,Sanpada, Navi Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2021,Honda,"45,227",Petrol,Automatic,12.75,Antop Hill, Mumbai
https://images10.gaadi.com/usedcar_image/3862908/original/af2e25b9bc4202c8b9db340186758930.jpg?imwidth=420,2014,Hyundai,"44,599",Petrol,Manual,4.02,Goregaon East, Mumbai
https://images10.gaadi.com/usedcar_image/3931268/original/processed_bcd05ebdd0273577c4ed6ed4ebdd82b9.jpg?imwidth=420,2017,Maruti,"43,350",Petrol,Automatic,4.45,Malad West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Maruti,"35,000",Petrol,Manual,3.25,Andheri West, Mumbai
https://images10.gaadi.com/usedcar_image/3938883/original/processed_bcd51d4e8ba0727b1a5bb738273cb764.jpg?imwidth=420,2014,Toyota,"1,45,000",Diesel,Manual,9.35,Borivali West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Hyundai,"76,592",Petrol,Manual,3.95,Andheri East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Toyota,"47,700",Diesel,Automatic,31.95,Malad West, Mumbai
https://images10.gaadi.com/usedcar_image/3944833/original/processed_ee158cc0ba5215062f1ae2cd6a622a55.jpg?imwidth=420,2023,Hyundai,"4,737",Diesel,Automatic,21.0,Antop Hill, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2021,Hyundai,"28,745",Petrol,Manual,8.21,Thane,
https://images10.gaadi.com/usedcar_image/3740288/original/processed_img2945176__used_car_2945176_1703401652.jpg?imwidth=420,2015,Honda,"81,501",Petrol,Manual,5.75,Antop Hill, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2020,Kia,"31,000",Diesel,Automatic,33.21,Malad West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2010,Mercedes-Benz,"54,000",Petrol,Automatic,7.5,Andheri West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Mercedes-Benz,"75,000",Diesel,Automatic,23.75,Santacruz (east), Mumbai
https://images10.gaadi.com/usedcar_image/3843594/original/4a7ee51ebf8dc28433eb734ac37b009d.png?imwidth=420,2018,Maruti,"56,941",Diesel,Manual,7.75,Santacruz Central, Mumbai
https://images10.gaadi.com/usedcar_image/3941750/original/processed_9c6b4417c481f65b1da568fe69414a66.jpeg?imwidth=420,2017,Maruti,"88,683",Diesel,Manual,7.99,Vikhroli, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2021,Hyundai,"50,123",Diesel,Automatic,16.9,West, Thane
https://images10.gaadi.com/usedcar_image/3920118/original/6be444ff11ddc048433e3a1dc19e3f8a.jpg?imwidth=420,2015,Honda,"26,000",Petrol,Automatic,5.95,Bandra West, Mumbai
https://images10.gaadi.com/usedcar_image/3912148/original/processed_a3207077fbfa78f2577a2b37bada4643.jpeg?imwidth=420,2013,Mercedes-Benz,"55,000",Diesel,Automatic,27.75,Andheri East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Toyota,"1,89,814",Diesel,Manual,9.0,Mulund West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2018,Maruti,"30,000",Petrol,Manual,6.71,Jogeshwari East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2015,Hyundai,"49,976",Petrol,Manual,4.15,Antop Hill, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2021,Skoda,"49,716",Petrol,Automatic,13.99,West, Thane
https://images10.gaadi.com/usedcar_image/3945946/original/processed_608d27db4996a13a2266ba7f741581d3.jpeg?imwidth=420,2017,Honda,"33,649",Petrol,Automatic,7.99,West, Thane
https://images10.gaadi.com/usedcar_image/3917456/original/processed_23d73c8c7247016acec4e95b1a6dc803.jpg?imwidth=420,2018,Tata,"32,780",Diesel,Manual,7.75,Kharghar, Navi Mumbai
https://images10.gaadi.com/usedcar_image/3938833/original/processed_3777d8f052fb87d7f43502bdae0ea030.jpg?imwidth=420,2023,Mahindra,"30,000",Diesel,Automatic,24.2,Andheri, Mumbai
https://images10.gaadi.com/usedcar_image/3661579/original/processed_img2910293__used_car_2910293_1699421019.jpg?imwidth=420,2014,Audi,"49,000",Diesel,Automatic,23.0,Vikhroli, Mumbai
https://images10.gaadi.com/usedcar_image/3938741/original/processed_b148d5caa71004c7f146087ad96af716.jpg?imwidth=420,2022,Skoda,"16,000",Petrol,Automatic,17.25,Kandivali West, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2012,Land,"75,000",Diesel,Automatic,24.75,Andheri East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2019,Hyundai,"28,000",Diesel,Automatic,13.9,Andheri East, Mumbai
https://stimg.cardekho.com/pwa/img/spacer3x2.png,2014,Maruti,"60,435",Petrol,Automatic,3.35,Antop Hill, Mumbai
